area_type,availability,location,size,society,total_sqft,bath,balcony,price,total_sqft_cleaned,bhk,price_per_sqft,price_in_lakhs
Super built-up  Area,Ready To Move,1st Block BEL Layout,3 BHK,,1540,3.0,2.0,85.0,1540.0,3,5519.480519480519,8500000.0
Super built-up  Area,Ready To Move,1st Block HBR Layout,1 BHK,,600,1.0,0.0,45.0,600.0,1,7500.0,4500000.0
Plot  Area,18-Feb,1st Block HRBR Layout,8 Bedroom,,1200,7.0,0.0,235.0,1200.0,8,19583.333333333332,23500000.0
Plot  Area,Ready To Move,1st Block HRBR Layout,7 Bedroom,,2400,7.0,3.0,355.0,2400.0,7,14791.666666666666,35500000.0
Plot  Area,Ready To Move,1st Block HRBR Layout,3 Bedroom,,600,3.0,1.0,90.0,600.0,3,15000.0,9000000.0
Plot  Area,Ready To Move,1st Block HRBR Layout,3 Bedroom,,600,3.0,2.0,125.0,600.0,3,20833.333333333332,12500000.0
Plot  Area,Ready To Move,1st Block HRBR Layout,3 Bedroom,,600,4.0,2.0,125.0,600.0,3,20833.333333333332,12500000.0
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,,2850,4.0,1.0,428.0,2850.0,4,15017.543859649122,42800000.0
Super built-up  Area,18-Jun,1st Block Jayanagar,3 BHK,,1630,3.0,2.0,194.0,1630.0,3,11901.840490797545,19400000.0
Super built-up  Area,17-Dec,1st Block Jayanagar,6 BHK,,1200,6.0,2.0,125.0,1200.0,6,10416.666666666666,12500000.0
Super built-up  Area,Ready To Move,1st Block Jayanagar,3 BHK,,1875,2.0,3.0,235.0,1875.0,3,12533.333333333334,23500000.0
Plot  Area,Ready To Move,1st Block Jayanagar,8 Bedroom,,700,4.0,,104.0,700.0,8,14857.142857142857,10400000.0
Built-up  Area,15-Dec,1st Block Jayanagar,3 BHK,Bhsic C,1200,2.0,0.0,130.0,1200.0,3,10833.333333333334,13000000.0
Super built-up  Area,18-Jun,1st Block Jayanagar,2 BHK,,1235,2.0,2.0,148.0,1235.0,2,11983.805668016194,14800000.0
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,,2750,4.0,0.0,413.0,2750.0,4,15018.181818181818,41300000.0
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,,2450,4.0,2.0,368.0,2450.0,4,15020.408163265307,36800000.0
Built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,Dhnts A,1415,2.0,3.0,110.0,1415.0,2,7773.851590106007,11000000.0
Built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,,860,2.0,2.0,65.5,860.0,2,7616.279069767442,6550000.0
Super built-up  Area,18-Dec,1st Block Koramangala,4 BHK,,3000,3.0,3.0,300.0,3000.0,4,10000.0,30000000.0
Built-up  Area,18-Mar,1st Block Koramangala,3 BHK,,2350,3.0,2.0,210.0,2350.0,3,8936.170212765957,21000000.0
Super built-up  Area,Ready To Move,1st Block Koramangala,4 BHK,,3000,5.0,3.0,500.0,3000.0,4,16666.666666666668,50000000.0
